"","Year","Area","Street","Street.2"
"402",2011,"","Pype Hayes Rd. Pype Hayes B Ham",""
"403",2011,"","Queen Str.",""
"404",2011,"","Queen Str.",""
"405",2011,"","Queen Str.",""
"406",2011,"","Queen Str.",""
"407",2011,"","Queen Str. Sutton Coldfield Town Centre",""
"408",2011,"","Queslett Rd. East",""
"409",2011,"","REDACRE RD BOLDMERE",""
"410",2011,"","RESERVOIR ROAD",""
"411",2011,"","Ridgeway",""
"412",2011,"","Slade Rd. Erdington B Ham",""
"413",2011,"","Slade Rd. Erdington B Ham",""
"414",2011,"","Soth Parade Sutton Coldfield",""
"415",2011,"","Soth Parade Sutton Coldfield",""
"416",2011,"","South Parade",""
"417",2011,"","SOUTH PARADE",""
"418",2011,"","SOUTH PARADE",""
"419",2011,"","South Parade",""
"420",2011,"","South Parade",""
"421",2011,"","South Parade",""
"422",2011,"","South Parade",""
"423",2011,"","SOUTH PARADE",""
"424",2011,"","South Parade",""
"425",2011,"","South Parade",""
"426",2011,"","South Parade",""
"427",2011,"","South Parade",""
"428",2011,"","South Parade Town Centre Sutton Coldfield",""
"429",2011,"","South Parade Sutton Coldfield",""
"430",2011,"","South Parade Sutton Coldfield",""
"431",2011,"","South Parade Sutton Town Centre",""
"432",2011,"","South Parade Sutton Coldfield",""
"433",2011,"","South Parade Sutton Coldfield",""
"434",2011,"","South Parade Sutton Coldfield",""
"435",2011,"","South Parade Sutton Coldfield",""
"436",2011,"","South Parade Sutton Coldfield",""
"437",2011,"","South Parade Sutton Coldfield",""
"438",2011,"","South Parade Sutton Coldfield",""
"439",2011,"","South Parade Sutton Coldfield",""
"440",2011,"","South Parade Sutton Coldfield",""
"441",2011,"","South Parade Sutton Coldfield",""
"442",2011,"","South Parade Sutton Coldfield",""
"443",2011,"","South Parade Sutton Town Centre",""
"444",2011,"","South Parade Town Centre Sutton Coldfield",""
"445",2011,"","STORNAWAY ROAD CASTLE VALE",""
"446",2011,"","STREETLEY ROAD ERDINGTON",""
"447",2011,"","Sumburgh Croft",""
"448",2011,"","Sutton Coldfield Town Centre",""
"449",2011,"","Sutton Coldfield Town Centre",""
"450",2011,"","Sutton New Rd.",""
"451",2011,"","Sutton New Rd. Erdington",""
"452",2011,"","SUTTON NEW ROAD ERDINGTON",""
"453",2011,"","SUTTON NEW ROAD ERDINGTON",""
"454",2011,"","Sutton New Rd. Erdington B Ham",""
"455",2011,"","Sutton Parade",""
"456",2011,"","SUTTON PARADE",""
"457",2011,"","Sutton Parade",""
"458",2011,"","Sutton Town Centre",""
"459",2011,"","Sutton Town Centre",""
"460",2011,"","Sutton Town Centre",""
"461",2011,"","Sutton Town Centre",""
"462",2011,"","Sutton Town Centre",""
"463",2011,"","Tedbury Crescent",""
"464",2011,"","Tesco S Express Walsall Rd. Four Oaks Sutton Coldfield",""
"465",2011,"","The Parade",""
"466",2011,"","The Parade",""
"467",2011,"","The Parade",""
"468",2011,"","The Parade Sutton",""
"469",2011,"","THE PARADE SUTTON COLDFIELD",""
"470",2011,"","The Parade Birmingham Rd. Sutton Coldfield",""
"471",2011,"","The Parade Sutton Coldfield",""
"472",2011,"","The Parade Sutton Coldfield",""
"473",2011,"","The Parade Sutton Coldfield",""
"474",2011,"","The Parade Sutton Coldfield",""
"475",2011,"","The Parade Sutton Coldfield",""
"476",2011,"","The Parade Sutton Coldfield",""
"477",2011,"","The Parade Sutton Town Centre",""
"478",2011,"","The Parade",""
"479",2011,"","THE RIDGEWAY",""
"480",2011,"","The Ridgeway",""
"481",2011,"","The Ridgeway",""
"482",2011,"","The Swan PH",""
"483",2011,"","Turnhouse Rd.",""
"484",2011,"","Upper Holland Rd.",""
"485",2011,"","Victoria Rd",""
"486",2011,"","Victoria Rd",""
"487",2011,"","Victoria Rd",""
"488",2011,"","Walsh Dr. Walmley Sutton Coldfield",""
"489",2011,"","Warren Farm Rd",""
"490",2011,"","Warren Farm Rd.",""
"491",2011,"","Whitehouse Common Rd",""
"492",2011,"","Wilton Rd",""
"493",2011,"","Windsor House Jarvis Rd. Erdington",""
"494",2011,"","Witton Lodge Rd.",""
"495",2011,"","Witton Lodge Rd. Erdington",""
"496",2011,"","York Rd.",""
"497",2011,"","Abdon Ave",""
"498",2011,"","Alcester Rd. South",""
"499",2011,"","Alvechurch Rd",""
"500",2011,"","Arden Rd.",""
"501",2011,"","Ardencote Froad",""
"502",2011,"","Ashley Close",""
"503",2011,"","Balti Spice Bristol Rd South",""
"504",2011,"","Barnes Hill",""
"505",2011,"","Barrow House",""
"506",2011,"","Bell Str.",""
"507",2011,"","Birmingham New Str.",""
"508",2011,"","Birmingham New Str.",""
"509",2011,"","Birmingham New Str.",""
"510",2011,"","Birmingham Str. Oldbury",""
"511",2011,"","Blandford Rd.",""
"512",2011,"","Bournbrook Rd.",""
"513",2011,"","Bournville Front Office",""
"514",2011,"","Bournville Front Office",""
"515",2011,"","Bournville Lan.",""
"516",2011,"","Bournville Lan.",""
"517",2011,"","Bournville Lan. Front Office",""
"518",2011,"","Bowling Gr. Rd.",""
"519",2011,"","Bristol Rd",""
"520",2011,"","Bristol Rd",""
"521",2011,"","Bristol Rd",""
"522",2011,"","Bristol Rd",""
"523",2011,"","Bristol Rd Selly Oak",""
"524",2011,"","Bristol Rd South",""
"525",2011,"","Bristol Rd South",""
"526",2011,"","Bristol Rd Sth",""
"527",2011,"","Bristol Rd Northfield",""
"528",2011,"","Bristol Rd Selly Oak",""
"529",2011,"","Bristol Rd.",""
"530",2011,"","Bristol Rd.",""
"531",2011,"","Bristol Rd.",""
"532",2011,"","Bristol Rd.",""
"533",2011,"","Bristol Rd.",""
"534",2011,"","Bristol Rd.",""
"535",2011,"","Bristol Rd.",""
"536",2011,"","Bristol Rd.",""
"537",2011,"","Bristol Rd.",""
"538",2011,"","Bristol Rd.",""
"539",2011,"","Bristol Rd.",""
"540",2011,"","Bristol Rd.",""
"541",2011,"","Bristol Rd.",""
"542",2011,"","Bristol Rd.",""
"543",2011,"","Bristol Rd. Northfield",""
"544",2011,"","Bristol Rd. Selly Oak",""
"545",2011,"","Bristol Rd. Selly Oak",""
"546",2011,"","Bristol Rd. Selly Oak",""
"547",2011,"","Bristol Rd. South Northfield",""
"548",2011,"","Bristol Rd. South Selly Oak",""
"549",2011,"","Bristol Rd. Selly Oak",""
"550",2011,"","Bristol Rd. Selly Oak",""
"551",2011,"","Bristol Rd. Selly Oak",""
"552",2011,"","Broad Str.",""
"553",2011,"","Broad Str.",""
"554",2011,"","Broad Str.",""
"555",2011,"","Broad Str. City Centre",""
"556",2011,"","Broad Str. City Centre",""
"557",2011,"","Brook Lan.",""
"558",2011,"","Bunburry Rd.",""
"559",2011,"","Bunburry Rd.",""
"560",2011,"","Burnhill Grove Weoley Castle Birmingham",""
"561",2011,"","Car Pk. Of Bournville Lan. P Stn",""
"562",2011,"","Chinbrook Rd. Billsley",""
"563",2011,"","Church Hill Nortthfield",""
"564",2011,"","Church Rd.",""
"565",2011,"","Compton Rd. Cradley Heath",""
"566",2011,"","Costcutters Ardern Rd.",""
"567",2011,"","Dawberry Rd.",""
"568",2011,"","Dawlish Rd.",""
"569",2011,"","Dingle Club",""
"570",2011,"","Doddington Rd.",""
"571",2011,"","Dog Kennel Lan.",""
"572",2011,"","Dog Pool Lan.",""
